Geneid	MB231-Combo-1.sorted.bam	MB231-Combo-2.sorted.bam	MB231-Combo-3.sorted.bam	MB231-DMSO-1.sorted.bam	MB231-DMSO-2.sorted.bam	MB231-DMSO-3.sorted.bam	MB231-MG132-1.sorted.bam	MB231-MG132-2.sorted.bam	MB231-MG132-3.sorted.bam	MB231-SHP-1.sorted.bam	MB231-SHP-2.sorted.bam	MB231-SHP-3.sorted.bam
TRNF	0	2	0	1	2	1	5	1	2	1	3	0
LILRP2	0	0	0	0	0	0	0	0	0	0	0	0
KIR3DL3	0	0	0	0	0	0	0	0	0	0	5	0
KIR2DS2	0	0	0	0	0	0	0	0	0	0	0	0
KIR2DL2	0	0	0	0	0	0	0	0	0	0	0	0
KIR2DL4	0	0	0	0	0	0	0	0	0	0	0	0
KIR3DS1	0	0	0	0	0	0	0	0	0	0	0	0
KIR2DL5A	0	0	0	0	0	0	0	0	0	0	0	0
KIR2DS5	0	0	0	0	0	0	0	0	0	0	0	0
KIR2DS1	0	0	0	0	0	0	0	0	1	0	0	0
KIR3DL2	0	0	5	0	0	0	0	0	0	0	5	0
KIR2DL3	0	0	0	0	0	0	0	0	0	0	5	0
KIR2DP1	0	0	0	0	0	0	0	0	0	0	0	5
LOC101928804	0	0	0	0	0	0	0	0	9	0	0	0
KIR2DL1	0	0	0	0	0	0	0	0	0	0	0	0
KIR3DP1	0	0	0	0	0	0	0	0	0	0	0	0
KIR3DL1	0	0	0	0	1	0	0	0	0	0	0	0
KIR2DS4	0	0	0	0	0	0	0	0	0	0	0	0
KIR2DL5B	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-222P	0	0	0	0	0	0	0	0	0	0	0	0
NCR1	0	0	0	0	0	0	0	0	0	0	0	0
FCAR	10	15	11	2	11	20	0	11	34	0	6	0
LOC102725023	0	0	0	0	0	0	0	0	0	0	0	0
KIR2DS3	0	0	0	0	0	0	0	0	0	0	0	0
EPS8L1	473	667	753	1073	787	760	799	655	737	832	833	753
RDH13	1176	1328	1583	2234	2011	2426	2340	1962	2023	2099	1977	2073
GP6	9	10	10	0	0	10	5	0	20	5	0	15
GP6-AS1	85	70	75	119	70	92	111	105	200	141	137	125
RPL36AP50	0	0	0	0	0	0	0	0	0	0	0	0
NLRP2	586	603	828	1169	1129	1368	1390	1288	1228	1346	1377	1010
NLRP7	0	5	10	0	0	0	0	0	0	0	0	0
LILRP1	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724290	0	0	0	0	0	0	0	0	0	0	0	0
LILRB4	10	3	0	17	8	19	16	20	11	0	2	13
VN1R105P	0	0	0	0	0	0	0	0	0	0	0	0
MIR8061	0	0	0	0	0	0	0	0	0	0	0	0
LILRB1	16	13	0	12	0	4	0	9	5	8	4	0
LILRA1	0	20	8	0	0	9	0	1	0	0	0	0
LILRA2	19	57	64	12	7	32	3	28	39	16	10	11
LOC105372461	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985347	0	0	0	4	0	0	0	0	0	0	0	0
KIR3DX1	4	4	0	0	0	0	14	13	7	20	1	18
LOC105372460	0	0	0	1	0	0	4	0	0	0	0	0
LAIR2	2	1	0	9	4	0	0	7	6	4	0	0
CDC42EP5	36	93	107	68	45	96	157	88	51	96	64	80
LENG9	54	68	89	152	148	137	116	85	119	146	153	137
LENG8	5492	4027	4206	5025	4321	4611	4307	4624	4543	3988	5027	4263
LENG8-AS1	47	13	25	36	28	25	31	45	29	8	42	39
TTYH1	4	2	0	2	12	4	18	7	5	1	4	22
LAIR1	57	87	86	54	49	49	57	76	90	33	37	43
LILRA4	0	0	4	0	4	0	0	0	4	1	2	0
VN1R104P	0	0	0	0	0	0	0	0	0	0	0	0
LILRA5	0	0	0	5	13	5	0	0	3	0	0	0
LILRA3	0	0	0	0	0	0	0	0	0	0	0	0
MIR4752	0	0	0	0	0	0	0	0	0	0	0	0
LILRB2	5	5	22	5	8	4	0	2	25	18	4	0
LOC100420187	0	0	0	0	0	0	0	0	1	0	0	0
LILRB5	0	0	0	0	0	0	3	0	8	0	6	0
LOC107987463	0	0	0	0	1	4	0	4	1	2	0	0
LILRA6	10	6	7	19	0	17	14	21	5	14	16	5
LOC100421130	11	7	13	3	16	0	7	24	7	0	0	1
LOC107987462	3	0	3	1	1	3	3	3	3	4	6	1
RPS9	101483	106968	103038	116632	111015	104545	101720	107862	114924	106482	107681	105691
TSEN34	5687	5713	5881	7485	7235	7452	7653	7423	7546	8068	7593	8021
MBOAT7	35096	37763	39866	37312	33253	35149	38166	34778	38409	38168	36883	37033
TMC4	32	24	27	20	23	42	28	73	24	31	36	44
LENG1	2078	2354	2450	3009	2225	2481	2626	2540	2433	2460	2602	2737
LOC102724273	16	25	25	5	13	38	16	5	0	19	1	10
CNOT3	4378	3951	4461	3761	4547	4281	5153	4047	4436	5177	4256	4165
PRPF31	10994	12127	13802	14362	13746	13144	14028	12541	12800	15093	14434	13588
TFPT	2551	3450	3019	3280	2947	2763	3226	3357	3554	3668	3042	3486
NDUFA3	1938	1999	1739	2311	2497	2162	2316	2084	1671	1762	1797	2033
OSCAR	13	54	35	34	28	36	24	42	28	60	45	6
TARM1	5	0	0	0	0	0	0	0	0	0	0	0
VSTM1	20	0	0	10	10	14	5	15	0	5	0	25
LOC107987461	2	2	0	0	0	0	0	0	0	1	0	0
HCG23	0	6	5	11	11	6	18	3	7	17	12	10
BTNL2	0	0	0	0	28	10	5	0	0	0	0	0
TSBP1-AS1	0	10	10	6	10	8	6	3	5	21	6	23
HLA-DRA	2091	2039	2109	1984	2265	1606	1725	1931	2182	2239	1761	1931
LOC102725035	3	1	2	2	2	1	2	2	2	6	7	1
LOC112268246	0	0	0	0	3	0	0	0	0	0	0	0
ZBTB9	885	986	1100	1690	1607	1605	1739	1475	1748	1588	1615	1750
MIR5004	0	0	0	0	0	0	0	0	0	0	0	0
SYNGAP1	247	254	256	306	370	330	381	398	475	357	533	386
CUTA	7585	8307	8716	14198	13021	13105	13754	13153	14110	13416	12718	13508
PHF1	4964	4760	4515	3292	3011	3010	3441	3242	3233	3036	3084	2632
RPL12P1	1	11	19	18	21	18	18	13	23	42	5	14
KIFC1	5863	6457	7464	16186	15616	15766	15921	15886	16467	16754	16552	16601
SMIM40	0	0	0	0	0	0	0	0	0	0	0	0
RPS18	218202	228021	216970	245563	246804	226806	232330	228867	235959	228551	210968	224836
VPS52	4067	4459	5572	6093	5871	6064	6985	6396	5398	7559	5449	6518
HCG25	43	22	43	16	50	37	55	37	55	20	72	45
LOC105375022	0	0	9	4	15	11	10	10	20	14	15	20
ZNF70P1	0	0	0	0	0	0	0	0	0	0	0	0
COL11A2	38	20	59	62	58	40	25	105	52	73	69	47
HLA-DPB2	0	0	0	0	0	0	0	0	0	0	0	0
COL11A2P1	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DPA2	0	0	0	0	0	0	0	0	0	0	0	0
RPL32P1	0	0	0	0	0	5	0	0	0	0	0	0
HLA-DPB1	171	261	173	222	176	303	174	272	207	189	266	161
HLA-DPA1	754	836	910	974	973	736	543	745	958	905	844	790
HLA-DOA	15	23	14	17	18	24	23	0	12	15	14	17
BRD2	36439	37466	44365	28181	28509	28392	32103	30350	31434	27940	27512	27565
HLA-DMA	1308	945	1415	1718	1722	1550	1406	1888	1897	1499	1941	1854
HLA-DMB	285	394	445	523	364	474	438	346	546	353	412	514
HLA-Z	0	0	0	0	0	0	10	10	10	5	0	0
LOC100294145	2385	2564	2907	5964	5634	5688	6554	6004	6046	6560	5548	6498
PPP1R2P1	0	0	0	2	0	0	0	0	3	0	0	5
PSMB9	2702	2148	2532	5750	5366	4910	5282	4842	6036	5901	5172	5158
TAP1	11482	10667	12792	17933	16908	18757	17600	16848	18354	17809	19191	18439
PSMB8-AS1	70	132	124	402	274	343	321	347	389	357	290	352
PSMB8	5554	6568	6620	9545	9646	9195	9415	10065	9822	10238	9306	9430
TAP2	19768	20810	22268	27994	25754	25554	27471	26805	28389	27633	26139	25100
HLA-DOB	35	50	30	93	88	56	46	84	102	67	52	79
HLA-DQB2	0	0	0	0	0	0	0	0	0	0	0	0
MIR3135B	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DQA2	0	0	0	0	0	0	0	0	0	0	0	0
LOC102725019	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DQB1	8	4	1	8	0	4	4	4	18	5	3	3
HLA-DQA1	2	0	6	4	2	4	0	5	1	2	0	1
LOC107987459	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DRB1	442	525	440	589	445	463	506	576	492	718	608	503
FAM8A5P	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DRB7	0	0	0	0	0	0	0	0	2	0	0	0
LOC100294316	0	0	0	0	0	0	0	0	0	0	0	0
PRKRAP1	7	8	1	5	3	4	14	9	13	14	12	11
HLA-DRB8	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DRB4	16	29	24	17	44	18	35	15	13	34	8	36
HLA-DRB9	0	0	0	3	0	0	7	0	0	0	0	0
RNU6-603P	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1P2	106	69	60	132	51	73	82	59	92	98	85	68
TSBP1	3	2	0	1	15	1	10	12	1	0	0	10
NOTCH4	26	18	9	85	70	108	115	25	117	52	90	80
GPSM3	793	1249	1074	2053	1977	1740	1551	1957	1845	1791	1690	1844
PBX2	4141	3990	4447	10707	10625	10319	11011	10920	10612	11067	11176	11023
AGER	131	132	264	227	284	292	238	362	354	297	192	179
MIR6833	0	0	0	0	0	0	0	0	0	0	0	0
RNF5	9993	10282	10241	18866	17147	16608	17436	17122	18578	18560	18289	17746
MIR6721	0	0	0	0	0	0	0	0	0	0	0	0
AGPAT1	10439	10989	13010	22140	20060	20830	23425	21022	21915	21655	22407	21511
EGFL8	3	0	0	5	0	0	4	5	0	0	10	0
PPT2-EGFL8	3	30	52	34	9	42	51	23	34	20	29	20
PPT2	1204	1475	1907	2619	2065	2356	2725	2395	2435	2483	2082	2337
LOC100507547	28	28	34	50	102	97	71	101	64	92	99	108
PRRT1	10	35	76	85	50	95	55	41	47	52	81	100
TNXB	592	708	826	794	918	878	903	842	872	1179	865	747
CYP21A2	2	0	5	0	5	10	0	0	0	2	0	0
C4B	253	227	303	346	274	289	256	205	191	308	211	261
STK19B	47	67	56	77	52	53	70	81	79	75	111	55
TNXA	24	18	38	24	36	17	12	22	36	18	21	13
CYP21A1P	6	0	6	9	11	4	2	7	9	6	10	5
C4B_2	43	102	100	97	80	104	56	69	56	96	132	71
STK19	1539	1804	1838	1772	1236	1439	1631	1627	2097	1533	1608	1676
DXO	1498	1711	1606	1702	2057	1794	2163	1787	2059	2298	1871	1956
SKIV2L	6433	7157	7575	8910	8179	7148	8995	8887	10326	10013	9918	10207
MIR1236	0	0	0	0	0	0	0	0	0	0	0	0
NELFE	15053	16254	16178	18682	15734	17324	18230	16683	18983	20279	18964	18738
CFB	1210	1143	1527	1660	1447	1392	1514	1599	1656	1625	1313	1292
C2-AS1	0	5	5	0	8	0	0	15	10	10	0	5
C2	614	796	945	882	927	650	719	844	622	1078	675	862
LOC107986588	10	10	0	0	5	0	5	10	0	0	5	0
EHMT2	2347	2812	2779	9551	9232	8693	9517	9554	10144	9846	10418	10490
SLC44A4	23	13	8	13	22	5	5	0	7	0	3	0
NEU1	8093	9032	9592	12798	11650	11386	13244	12363	13169	13522	11893	12257
VARS1	16989	17460	22117	31528	30622	28666	33244	29719	32775	33086	30286	30926
VWA7	178	104	172	180	98	157	229	172	194	181	154	186
SAPCD1-AS1	0	8	4	0	10	14	0	0	3	5	0	0
SAPCD1	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-850P	4	6	9	10	0	5	35	0	14	35	5	1
MSH5	5	0	9	5	10	10	13	20	15	0	5	5
MSH5-SAPCD1	29	10	20	23	53	25	40	22	43	25	28	69
LOC105375020	0	12	3	25	0	15	10	21	6	0	11	0
CLIC1	102909	110053	111441	205205	194581	186671	196595	184620	199471	192668	183059	185090
DDAH2	7042	7154	7662	12089	11031	10297	11101	11598	11249	11592	12052	10480
MPIG6B	30	5	40	20	1	25	5	30	15	35	5	5
LY6G6C	5	5	0	5	8	5	0	0	25	0	0	0
LY6G6D	0	0	0	0	0	0	0	0	0	0	0	0
LY6G6E	0	0	0	0	0	0	0	0	0	0	0	0
LY6G6F	0	0	0	0	0	0	0	0	0	0	0	0
LY6G6F-LY6G6D	0	0	0	0	0	0	0	0	0	0	0	0
MIR4646	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375018	10	21	6	13	23	14	22	24	0	4	14	4
ABHD16A	4056	3033	3335	6524	6389	5608	6251	5828	6391	6551	5827	6242
LOC105375019	0	5	0	5	5	14	25	10	40	9	5	0
LY6G5C	50	36	45	19	66	57	108	125	66	76	148	130
LY6G5B	640	545	575	566	617	526	551	518	697	625	647	607
CSNK2B	17851	18744	19809	21500	19027	20225	20889	20476	21781	22972	22006	19051
GPANK1	2487	2473	2569	4366	3754	3880	4159	3839	4072	3751	3893	4359
C6orf47	2282	2560	2409	5332	4622	4833	5339	4883	5202	5687	5375	4987
APOM	55	74	68	114	96	88	98	79	59	107	37	84
BAG6	48507	47556	55850	62777	56997	54535	61871	60233	62921	63192	62252	59870
MIR6832	0	0	0	0	0	0	0	0	0	0	0	0
SNORA38	0	5	0	16	5	0	2	4	0	0	8	0
PRRC2A	55037	57787	65973	85883	77487	82265	91811	82421	89156	88024	84548	86446
AIF1	50	107	104	49	31	16	27	72	20	15	39	16
UQCRHP1	0	0	0	0	0	0	0	0	0	0	0	0
NCR3	5	0	0	0	0	0	0	0	4	0	10	0
LST1	63	175	203	78	50	80	57	92	164	34	20	78
LTB	5	12	0	18	47	55	85	30	90	25	80	53
TNF	5	0	10	31	11	0	0	0	5	10	0	10
LTA	16	3	10	24	7	17	8	14	27	11	8	2
LOC100287329	15	19	14	13	23	9	24	10	43	5	5	9
NFKBIL1	1773	1788	2163	3036	3208	2843	2856	2827	3125	3673	3148	2789
ATP6V1G2	11	21	26	7	35	34	59	60	33	50	22	38
DDX39B-AS1	15	8	15	13	8	25	19	40	0	10	22	25
SNORD84	82	41	89	117	126	86	109	143	119	68	75	56
SNORD117	0	0	5	10	20	0	0	0	5	5	0	0
DDX39B	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G2-DDX39B	72	112	82	49	161	77	83	118	75	54	58	115
MCCD1	0	0	0	0	5	0	5	0	5	0	0	0
RPL15P4	0	0	0	0	0	0	0	0	0	0	0	0
PPIAP9	1	0	0	1	0	0	0	0	0	0	0	0
MICB	9115	9903	11560	7958	7078	7914	8176	8208	8772	9874	9184	9161
MICB-DT	33	22	26	57	71	49	78	58	57	61	76	68
HCG26	11	1	5	0	0	4	5	0	0	2	0	11
HCP5	193	220	131	228	407	249	377	323	329	394	444	420
HLA-X	0	0	0	0	0	0	0	0	0	0	0	0
LINC01149	0	0	0	0	5	0	0	0	0	0	0	0
MICA	6042	6419	6621	5423	5223	5168	5247	4969	5562	5297	4872	4993
MICA-AS1	52	85	72	123	183	226	170	180	146	156	143	172
LOC105379664	1	0	1	0	0	0	1	0	0	1	0	0
MIR6891	0	0	0	0	0	0	0	0	0	0	0	0
HLA-B	45558	46855	47767	42373	41623	40591	41803	41392	43763	44876	40242	41783
LINC02571	0	0	0	0	0	0	0	0	0	0	0	0
RPL3P2	80	80	114	85	77	66	68	77	110	73	97	88
USP8P1	0	2	4	0	0	0	1	0	2	2	1	0
HLA-C	26724	28900	28699	27249	25817	25684	27913	26197	28029	28706	27107	26821
HCG27	65	47	30	11	61	69	63	24	51	54	22	18
PSORS1C3	63	27	49	67	36	45	48	36	35	54	23	64
POU5F1	69	38	93	29	70	80	77	59	57	108	80	68
TCF19	8016	8440	9541	20239	17589	18367	19528	18527	20158	19985	18100	18402
RNU6-1133P	0	0	0	0	0	0	0	0	0	5	0	0
HCG22	0	0	0	0	0	0	0	0	0	0	0	5
MUC22	10	35	20	18	34	0	16	9	28	15	27	15
LINC00243	2	1	25	11	14	1	5	26	19	9	4	8
HCG20	5	5	20	8	2	0	21	1	5	27	12	0
RN7SL353P	0	0	0	0	0	0	0	0	0	0	0	0
IER3	11309	12701	13359	23019	20120	20226	21648	20825	22263	23062	20944	20916
IER3-AS1	0	10	0	5	15	5	15	0	0	0	0	0
FLOT1	32135	34982	34297	44012	44495	41544	43276	42116	46593	47586	45386	45730
TUBB	322820	360105	392158	581318	518604	530449	577557	549005	596073	598757	558232	561547
MDC1-AS1	0	0	0	0	0	0	0	0	0	0	0	0
MDC1	5134	5165	5900	9183	9350	9594	10727	10343	10478	10659	10835	10554
LOC107987457	604	736	731	1236	963	1077	1124	1059	930	808	718	1031
DHX16	12050	12617	12754	15834	13338	13301	16843	14883	15688	16955	15858	16012
C6orf136	1314	1408	1464	2685	2892	2285	2727	2137	2914	2611	2720	2920
PTMAP1	16	1	59	22	15	27	34	19	27	68	18	11
ATAT1	1464	1106	1208	1640	1027	1541	1658	1510	1516	1417	1160	1417
MRPS18B	7271	7760	8319	15487	14553	13887	14741	14966	14808	16790	14966	15014
PPP1R10	8159	8423	10344	11437	9695	10109	11944	11270	11032	10942	11252	10968
MIR877	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	38657	37755	46548	39440	37939	37986	40964	40029	43403	44279	41499	42391
ABCF1-DT	0	5	14	20	15	2	15	23	0	3	20	20
PRR3	1263	1336	1513	1789	2076	1612	1907	1996	1960	2234	2113	1900
GNL1	4434	4472	4893	8281	7815	7495	8283	7437	8693	8997	7927	8330
LINC02569	0	0	25	5	30	10	10	15	12	20	17	30
HLA-E	38329	42344	44774	49269	47124	46825	49029	48457	51218	51724	48025	48283
RANP1	222	310	196	323	328	254	290	290	334	395	296	244
SUCLA2P1	5	0	0	0	0	0	5	0	3	0	0	5
LOC105375012	3	0	0	1	2	0	2	0	0	0	1	5
MICC	0	0	0	0	0	0	0	0	5	0	0	0
UBQLN1P1	0	0	0	5	0	0	0	0	0	0	0	0
HLA-N	0	0	0	0	0	0	0	0	0	0	0	0
RPP21	0	3	8	0	8	16	10	0	0	5	5	3
TRIM39-RPP21	0	0	0	0	0	0	3	0	0	0	0	2
TRIM39	2706	3124	3443	3155	2904	2518	3153	2982	3156	3207	3040	2943
HCG18	8050	7899	8909	8787	7200	7907	8942	7699	8240	8866	8060	8041
HLA-L	195	204	171	71	68	114	162	49	115	93	93	79
HCG17	8	10	4	4	6	5	18	28	7	14	22	2
PAIP1P1	34	11	5	6	0	18	2	0	0	0	10	4
TRIM26	16183	18507	19052	10926	11186	9768	11732	10864	11675	11413	10345	10923
TRIM15	10	0	5	0	0	0	0	0	5	0	0	0
TRIM10	0	0	0	0	0	5	0	1	0	0	0	5
TRIM40	5	0	0	0	0	0	0	0	0	5	1	0
TRIM31-AS1	5	5	5	5	24	19	5	5	10	5	17	5
TRIM31	7	3	18	0	0	13	3	3	13	3	14	2
RNF39	188	108	257	307	303	313	219	381	278	281	305	308
PPP1R11	11297	12327	12836	16937	16258	15146	16923	15914	16880	17054	15312	15343
POLR1H	1400	1194	1363	2581	2607	1742	1840	2041	2361	2259	2149	1911
ETF1P1	0	0	0	5	0	5	0	5	3	0	10	0
HLA-J	94	71	73	101	39	86	79	130	147	82	110	103
HCG4P3	0	1	8	27	2	26	0	13	22	6	24	15
ZNRD1ASP	109	89	140	186	142	159	202	99	150	170	175	131
LOC353007	15	0	0	0	0	0	0	0	0	0	0	5
MCCD1P2	0	0	0	0	0	0	0	0	0	0	0	0
DDX39BP2	4	0	7	0	15	0	0	0	0	5	0	25
HCG9	1	0	4	0	10	10	1	0	6	0	0	0
HLA-A	108972	118401	119314	114805	109494	108910	113296	114611	117315	119364	111639	111721
HLA-K	517	400	394	481	327	396	467	405	414	457	335	333
HCG4B	26	5	2	5	12	12	10	7	6	8	21	9
DDX39BP1	0	0	0	0	0	0	0	0	0	0	0	0
HLA-H	542	485	521	535	457	533	621	573	612	594	526	769
HCP5B	0	0	0	0	0	0	0	0	0	0	0	4
LOC105375010	0	0	0	0	0	3	4	0	4	0	1	2
HCGVIII-2	0	0	0	0	0	0	0	0	0	0	0	0
HLA-G	0	3	2	0	2	0	0	15	13	0	2	0
MICG	0	0	0	0	0	0	0	0	0	0	0	0
RPL7AP7	0	0	3	0	0	0	0	2	0	4	0	0
HLA-P	0	0	0	0	0	0	0	0	0	0	0	0
HCG4P9	0	0	0	0	0	0	0	0	0	0	0	0
HLA-V	0	4	5	0	6	2	0	0	2	0	0	0
HCG4	15	7	20	30	10	9	5	21	22	40	46	20
LOC353010	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379663	0	0	0	2	2	1	0	1	3	0	4	4
IFITM4P	64	25	42	82	45	39	28	44	26	23	72	32
MICE	118	47	95	93	59	43	41	32	37	67	42	73
HLA-F-AS1	116	59	104	63	105	70	66	106	61	65	66	84
HLA-F	782	612	643	802	686	668	913	815	745	831	690	812
ZDHHC20P1	0	0	8	5	10	8	0	5	0	0	0	0
ZFP57	0	0	0	0	5	0	0	0	0	0	0	0
MOG	1	0	0	0	0	0	0	0	5	0	0	5
SUMO2P1	2555	2426	2226	3213	3273	3046	3057	2836	3561	2650	2774	3148
GABBR1	1181	771	980	1001	894	897	1136	1084	867	937	962	955
GPR53P	0	0	0	0	0	0	0	0	0	0	0	0
LINC01015	0	0	0	0	0	0	0	0	0	0	0	0
LINC02829	0	0	0	0	0	0	0	0	0	0	0	0
RPS17P1	0	0	0	0	0	0	0	0	0	0	0	0
MAS1L	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375008	0	0	0	0	0	0	0	0	0	0	0	0
MAS1LP1	0	0	0	0	0	0	0	0	0	0	0	0
UBDP1	0	0	0	0	0	0	0	0	0	0	0	0
OR2H1	0	0	0	0	0	0	0	0	0	0	0	0
LOC105379641	0	0	0	0	0	0	0	0	0	0	0	0
OR10C1	0	0	0	0	0	0	0	0	0	0	0	0
OR11A1	0	0	0	0	0	0	0	0	0	0	0	0
OR12D1	0	0	0	0	0	0	0	0	0	0	0	0
OR12D2	0	0	0	0	0	0	0	0	4	0	0	0
OR12D3	0	0	0	0	0	0	0	0	0	0	0	0
OR5V1	0	0	0	0	5	0	0	0	4	0	0	0
DDX6P1	0	0	0	5	0	0	0	0	0	0	0	0
OR14J1	0	0	0	0	0	0	0	0	0	0	0	0
OR2B4P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375005	0	0	0	0	0	0	0	0	0	0	0	0
OR2U2P	0	0	0	0	15	0	0	0	0	0	0	0
OR2U1P	0	0	0	0	0	0	0	0	0	0	0	0
OR2G1P	5	0	0	0	0	0	0	0	0	0	0	0
LOC101929006	0	0	0	0	0	0	0	0	0	0	0	0
OR2H4P	0	0	0	0	0	0	0	0	0	0	0	0
OR2J4P	0	0	0	0	0	0	0	0	0	0	0	0
OR2J2	0	0	0	0	0	0	0	0	0	0	0	0
OR2N1P	0	0	0	0	0	0	0	0	0	0	0	0
OR2J3	0	0	0	0	0	0	0	0	0	0	0	0
OR2J1	0	0	0	0	5	0	0	0	0	0	0	0
OR2B3	0	0	0	5	0	0	0	0	0	0	0	0
SAR1AP1	5	0	0	0	0	0	0	0	0	0	0	0
OR2P1P	0	0	0	0	0	0	0	0	0	0	0	0
OR2W1	0	0	0	0	0	0	0	0	0	0	0	0
LOC100129636	0	0	0	5	10	0	0	0	0	0	0	0
OR2AD1P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375002	0	0	0	0	0	0	0	0	10	0	0	0
ZNF311	381	340	745	780	904	994	916	1027	1098	1113	862	901
TRL-AAG3-1	27	25	30	40	50	34	40	70	60	113	89	59
HCG15	105	152	160	208	191	305	237	346	242	317	309	283
TRE-CTC1-6	0	0	0	0	0	0	0	4	0	0	0	1
TRF-GAA1-2	0	0	0	0	0	0	0	0	0	0	5	0
RN7SL471P	0	0	0	0	0	0	0	0	0	0	0	0
KRT18P1	0	0	0	4	0	0	0	0	0	0	0	0
TRM-CAT3-2	0	0	0	0	0	0	0	0	0	0	0	0
TRK-TTT3-3	0	0	0	0	0	0	0	0	0	4	0	4
TRM-CAT3-1	0	0	3	3	0	0	0	0	3	0	0	0
LINC01556	0	0	0	0	0	0	0	0	2	0	0	5
TRL-AAG2-2	0	0	0	0	0	0	0	0	0	0	0	0
TRQ-CTG1-3	0	0	1	0	0	0	0	0	0	0	0	0
TRL-CAA1-2	0	0	0	0	5	0	0	5	0	0	0	0
RNU6-930P	0	0	0	0	0	5	0	0	0	5	0	0
TRIM27	10889	12325	12233	15740	15147	15587	16375	15115	16742	16970	16519	15652
HCG14	10	3	0	5	3	0	0	0	0	1	5	6
TRL-CAA1-1	0	0	5	0	0	0	0	5	0	10	0	15
ZNF90P2	0	0	0	0	0	0	0	0	0	0	0	0
TRR-CCG1-2	0	0	0	0	0	0	0	0	0	0	0	0
